,one,two,three
LR base,0.7141414141414142,0.803030303030303,0.7097540288379982
SVC base,0.7108585858585859,0.7575757575757576,0.6628498727735369
LR standardized,0.7141414141414142,0.803030303030303,0.7097540288379982
SVC standardized,0.7108585858585859,0.7575757575757576,0.6628498727735369
SVC with PCA of 0.95,0.7363636363636363,0.7878787878787878,0.7732824427480915
LR with PCA of 0.95,0.717929292929293,0.7878787878787878,0.732654792196777
Random Forest,0.7032828282828283,0.7613636363636365,0.7111111111111111
